ticker,strategy,sector,gross_dollar_contribution,cost_dollar_contribution,net_dollar_contribution,pct_of_total_net_pnl,average_weight,max_weight,holding_periods
SHY,S5_XGBRANKER,DEFENSIVE_ETF,2699.6465,1041.9786,1657.6679,6.1076,0.59738,0.857143,2505
UNH,S5_XGBRANKER,HEALTH,339.0956,186.296,152.7996,0.563,0.161361,0.25,333
WMT,S5_XGBRANKER,STAPLES,3538.615,368.6381,3169.9769,11.6795,0.191128,0.25,1037
XOM,S5_XGBRANKER,ENERGY,3331.2421,247.2005,3084.0417,11.3629,0.18622,0.25,612
AAPL,S7_SECTOR_NEUTRAL_COMPOSITE,TECH,861.4282,157.348,704.0801,0.7813,0.1,0.1,433
AMD,S7_SECTOR_NEUTRAL_COMPOSITE,TECH,15358.2046,147.2738,15210.9308,16.8783,0.1,0.1,1035
AMZN,S7_SECTOR_NEUTRAL_COMPOSITE,TECH,-1184.3962,78.1492,-1262.5454,-1.4009,0.1,0.1,305
AVGO,S7_SECTOR_NEUTRAL_COMPOSITE,TECH,6639.6617,255.5235,6384.1382,7.0839,0.1,0.1,910
BAC,S7_SECTOR_NEUTRAL_COMPOSITE,FIN,734.6525,671.9263,62.7262,0.0696,0.2,0.2,1160
COST,S7_SECTOR_NEUTRAL_COMPOSITE,STAPLES,8562.6721,487.852,8074.8201,8.96,0.2,0.2,1392
CVX,S7_SECTOR_NEUTRAL_COMPOSITE,ENERGY,1150.7351,406.9776,743.7575,0.8253,0.2,0.2,1340
GOOGL,S7_SECTOR_NEUTRAL_COMPOSITE,TECH,2937.0781,86.1892,2850.8889,3.1634,0.1,0.1,354
JPM,S7_SECTOR_NEUTRAL_COMPOSITE,FIN,15273.3568,671.9263,14601.4305,16.202,0.2,0.2,1478
LLY,S7_SECTOR_NEUTRAL_COMPOSITE,HEALTH,9235.2342,363.375,8871.8592,9.8444,0.2,0.2,1599
META,S7_SECTOR_NEUTRAL_COMPOSITE,TECH,219.8266,212.772,7.0545,0.0078,0.1,0.1,431
MSFT,S7_SECTOR_NEUTRAL_COMPOSITE,TECH,514.6085,123.6011,391.0074,0.4339,0.1,0.1,332
NVDA,S7_SECTOR_NEUTRAL_COMPOSITE,TECH,15650.6276,212.7134,15437.9142,17.1302,0.1,0.1,1476
UNH,S7_SECTOR_NEUTRAL_COMPOSITE,HEALTH,2479.5601,363.375,2116.1851,2.3482,0.2,0.2,1039
WMT,S7_SECTOR_NEUTRAL_COMPOSITE,STAPLES,7904.4768,487.852,7416.6249,8.2296,0.2,0.2,1246
XOM,S7_SECTOR_NEUTRAL_COMPOSITE,ENERGY,8917.2771,406.9776,8510.2994,9.4432,0.2,0.2,1298
AAPL,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,-1283.9822,123.1823,-1407.1645,-1.1391,0.1,0.1,336
AMD,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,15879.8051,82.9452,15796.8599,12.7878,0.1,0.1,1181
AMZN,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,655.0497,13.7872,641.2625,0.5191,0.1,0.1,352
AVGO,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,9022.2159,263.4677,8758.7482,7.0904,0.1,0.1,830
BAC,S8_SECTOR_NEUTRAL_MOMENTUM,FIN,2639.8173,445.307,2194.5103,1.7765,0.2,0.2,1029
COST,S8_SECTOR_NEUTRAL_MOMENTUM,STAPLES,13400.2301,188.8868,13211.3433,10.6948,0.2,0.2,1517
CVX,S8_SECTOR_NEUTRAL_MOMENTUM,ENERGY,1694.1582,304.8648,1389.2935,1.1247,0.2,0.2,1315
GOOGL,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,4106.9827,130.8512,3976.1315,3.2187,0.1,0.1,302
JPM,S8_SECTOR_NEUTRAL_MOMENTUM,FIN,16340.8905,445.307,15895.5835,12.8677,0.2,0.2,1609
LLY,S8_SECTOR_NEUTRAL_MOMENTUM,HEALTH,22943.9665,336.9697,22606.9968,18.3007,0.2,0.2,1717
META,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,5341.1868,196.3834,5144.8033,4.1648,0.1,0.1,372
MSFT,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,961.7557,36.1198,925.6359,0.7493,0.1,0.1,161
NVDA,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,18696.7968,151.5994,18545.1974,15.0127,0.1,0.1,1742
UNH,S8_SECTOR_NEUTRAL_MOMENTUM,HEALTH,1563.9419,336.9697,1226.9722,0.9933,0.2,0.2,921
WMT,S8_SECTOR_NEUTRAL_MOMENTUM,STAPLES,6079.7622,188.8868,5890.8754,4.7688,0.2,0.2,1121
XOM,S8_SECTOR_NEUTRAL_MOMENTUM,ENERGY,9038.259,304.8648,8733.3942,7.0698,0.2,0.2,1323
AAPL,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,203.7077,64.0431,139.6646,0.47,0.049593,0.2,560
AMD,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,7077.1423,155.6868,6921.4554,23.2945,0.056036,0.25,1515
AMZN,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,-253.9505,76.0891,-330.0396,-1.1108,0.060409,0.25,704
AVGO,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,4605.0234,233.2941,4371.7293,14.7133,0.062854,0.25,1426
BAC,S6_ENSEMBLE_COMPOSITE_RANKER,FIN,1310.9977,383.246,927.7517,3.1224,0.189194,0.25,856
COST,S6_ENSEMBLE_COMPOSITE_RANKER,STAPLES,-91.4376,77.751,-169.1886,-0.5694,0.101541,0.2,119
CVX,S6_ENSEMBLE_COMPOSITE_RANKER,ENERGY,382.6276,66.9308,315.6968,1.0625,0.103266,0.2,199
GOOGL,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,852.0886,81.7306,770.3579,2.5927,0.068,0.2,347
JPM,S6_ENSEMBLE_COMPOSITE_RANKER,FIN,359.6005,98.7687,260.8319,0.8778,0.164881,0.25,84
LLY,S6_ENSEMBLE_COMPOSITE_RANKER,HEALTH,2536.0515,309.7188,2226.3327,7.4928,0.189031,0.25,547
META,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,1374.8158,124.1521,1250.6638,4.2092,0.058622,0.25,558
MSFT,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,79.9608,21.5238,58.437,0.1967,0.052996,0.1,160
NVDA,S6_ENSEMBLE_COMPOSITE_RANKER,TECH,6269.0469,212.4679,6056.579,20.3837,0.068647,0.25,2046
SHY,S6_ENSEMBLE_COMPOSITE_RANKER,DEFENSIVE_ETF,2360.5523,1073.5539,1286.9985,4.3315,0.641979,0.857143,2526
UNH,S6_ENSEMBLE_COMPOSITE_RANKER,HEALTH,356.4027,65.3735,291.0292,0.9795,0.193192,0.25,71
WMT,S6_ENSEMBLE_COMPOSITE_RANKER,STAPLES,2487.7669,299.203,2188.5639,7.3657,0.182482,0.25,822
XOM,S6_ENSEMBLE_COMPOSITE_RANKER,ENERGY,3345.8577,199.8666,3145.9911,10.588,0.16868,0.25,538
